RH2M,T2MDEW,QV2M,T2MWET,PS,PSC,TS,T2M_MAX,T2M_MIN,ALLSKY_SFC_UV_INDEX,WS50M,WD50M,WSC,LATITUDE,LONGITUDE,Target_Rain
72,16.3,11.76,16.3,1007.3,1008.5,23.4,29.0,16.5,4.15,18.76,193,4.86,19.08,83.81,0
76,18.0,13.28,18.2,1007.6,1008.8,24.5,29.8,18.6,3.85,19.58,199,5.07,19.08,83.81,0
81,19.1,13.94,18.9,1005.2,1006.4,24.2,27.6,19.8,2.95,14.99,271,3.88,19.08,83.81,1
86,19.5,14.21,19.2,1003.6,1004.8,23.5,26.5,20.0,2.35,11.07,299,2.87,19.08,83.81,1
75,17.0,12.44,17.1,1004.8,1006.0,23.6,27.4,18.6,4.03,18.63,6,4.83,19.08,83.81,0
70,14.5,10.75,14.9,1007.1,1008.3,22.4,27.3,16.6,4.91,13.1,330,3.39,19.08,83.81,0
75,15.6,11.54,15.9,1006.1,1007.3,22.4,27.9,16.7,4.67,17.14,167,4.44,19.08,83.81,0
74,16.2,12.05,16.6,1004.4,1005.6,23.3,29.7,16.8,4.62,18.5,174,4.79,19.08,83.81,0
76,18.1,13.5,18.4,1003.7,1004.9,24.7,30.4,17.9,4.05,13.5,202,3.5,19.08,83.81,0
73,17.1,12.48,17.2,1004.9,1006.1,24.1,28.0,18.7,3.75,22.28,6,5.78,19.08,83.81,1
61,13.5,9.9,14.0,1006.1,1007.3,23.3,27.9,17.2,5.0,14.04,12,3.64,19.08,83.81,0
56,9.3,8.14,11.2,1004.7,1005.9,21.5,27.7,12.9,5.25,10.12,21,2.62,19.08,83.81,0
59,10.6,8.92,12.4,1002.7,1003.9,22.1,29.2,14.4,5.17,16.47,178,4.27,19.08,83.81,0
71,14.5,11.37,15.7,1002.9,1004.1,23.0,30.9,15.2,4.89,18.76,187,4.86,19.08,83.81,0
69,14.9,11.59,16.1,1003.9,1005.1,23.8,31.3,16.8,5.08,18.76,166,4.86,19.08,83.81,0
69,13.9,11.1,15.4,1004.1,1005.3,23.1,30.3,16.2,5.06,19.58,172,5.07,19.08,83.81,0
73,15.9,12.18,16.8,1004.4,1005.6,23.7,31.2,15.8,4.83,24.03,172,6.23,19.08,83.81,0
71,16.3,12.75,17.6,1004.4,1005.6,24.9,30.9,17.6,4.5,19.58,165,5.07,19.08,83.81,0
68,16.2,12.43,17.3,1004.1,1005.3,25.2,31.2,18.8,4.51,18.63,137,4.83,19.08,83.81,0
65,16.1,12.09,17.0,1005.1,1006.3,25.5,31.1,18.0,4.62,19.04,174,4.93,19.08,83.81,0
69,16.8,12.89,17.9,1006.8,1008.0,25.6,31.6,19.0,4.98,23.36,170,6.06,19.08,83.81,0
69,15.8,12.74,17.7,1007.0,1008.2,25.4,32.0,18.9,4.97,22.54,165,5.84,19.08,83.81,0
66,16.4,12.65,17.7,1005.2,1006.4,26.0,32.2,18.8,5.0,22.54,157,5.84,19.08,83.81,0
63,16.2,12.23,17.3,1004.5,1005.7,26.2,31.9,19.3,4.66,17.01,99,4.41,19.08,83.81,0
69,16.3,12.62,17.5,1004.1,1005.3,25.2,30.9,18.1,5.18,23.49,125,6.09,19.08,83.81,0
61,15.8,12.0,17.1,1002.5,1003.7,26.4,31.4,20.6,4.7,20.39,39,5.28,19.08,83.81,0
51,11.9,9.73,14.6,1002.3,1003.5,25.9,32.2,16.8,5.43,19.04,111,4.93,19.08,83.81,0
71,19.0,14.51,19.7,1002.1,1003.3,27.0,33.2,20.3,4.53,26.46,172,6.86,19.08,83.81,0
